Base Number,Base Name,Pick Up Date,Number of Trips,Number of Vehicles
B01606,LA MEXICANA EXPRESS INC.,06/20/2015,4297,128
B01606,LA MEXICANA EXPRESS INC.,06/13/2015,4190,124
B01606,LA MEXICANA EXPRESS INC.,06/19/2015,3831,127
B01386,FENIX CAR SVCE CORP,01/31/2015,3763,209
B01606,LA MEXICANA EXPRESS INC.,06/06/2015,3735,122
B01606,LA MEXICANA EXPRESS INC.,06/12/2015,3732,123
B01606,LA MEXICANA EXPRESS INC.,06/15/2015,3675,127
B01606,LA MEXICANA EXPRESS INC.,06/05/2015,3540,126
B01606,LA MEXICANA EXPRESS INC.,06/11/2015,3540,114
B01606,LA MEXICANA EXPRESS INC.,06/07/2015,3433,105
B01606,LA MEXICANA EXPRESS INC.,06/01/2015,3370,122
B01606,LA MEXICANA EXPRESS INC.,06/02/2015,3368,127
B01606,LA MEXICANA EXPRESS INC.,06/18/2015,3352,127
B01606,LA MEXICANA EXPRESS INC.,06/08/2015,3340,122
B01606,LA MEXICANA EXPRESS INC.,06/21/2015,3313,109
B01606,LA MEXICANA EXPRESS INC.,06/03/2015,3277,115
B01606,LA MEXICANA EXPRESS INC.,06/16/2015,3263,122
B01606,LA MEXICANA EXPRESS INC.,06/17/2015,3223,123
B01386,FENIX CAR SVCE CORP,01/30/2015,3178,213
B00256,FAST OPERATING CORP,04/23/2015,3174,701
B00256,FAST OPERATING CORP,05/21/2015,3167,676
B00256,FAST OPERATING CORP,05/14/2015,3164,660
B01606,LA MEXICANA EXPRESS INC.,06/10/2015,3141,117
B00256,FAST OPERATING CORP,03/19/2015,3090,683
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,02/13/2015,3081,759
B01386,FENIX CAR SVCE CORP,01/17/2015,3075,200
B00256,FAST OPERATING CORP,05/22/2015,3067,680
B01606,LA MEXICANA EXPRESS INC.,06/14/2015,3065,100
B00256,FAST OPERATING CORP,04/30/2015,3047,690
B00256,FAST OPERATING CORP,04/02/2015,3017,690
B01606,LA MEXICANA EXPRESS INC.,06/09/2015,3010,115
B00256,FAST OPERATING CORP,05/07/2015,3008,672
B01386,FENIX CAR SVCE CORP,01/24/2015,3006,202
B00256,FAST OPERATING CORP,04/24/2015,3004,684
B01606,LA MEXICANA EXPRESS INC.,06/04/2015,2994,120
B00256,FAST OPERATING CORP,05/15/2015,2992,675
B01386,FENIX CAR SVCE CORP,01/18/2015,2987,185
B00256,FAST OPERATING CORP,04/16/2015,2987,704
