Date,Time,Lat,Lon,Cluster_ID,Cluster_Weight
01/06/2014,01:01:00,40.8192,-73.9019,-1,0
01/06/2014,06:25:00,40.8525,-73.8281,-1,0
01/06/2014,11:43:00,40.886,-73.9072,0,1
01/06/2014,13:33:00,40.8602,-73.8824,9,1
01/06/2014,14:11:00,40.8546,-73.8884,1,1
01/06/2014,15:02:00,40.831,-73.9268,2,1
01/06/2014,15:07:00,40.8889,-73.8924,3,1
02/06/2014,03:37:00,40.8041,-73.9137,4,1
02/06/2014,09:48:00,40.8929,-73.8994,5,1
02/06/2014,11:32:00,40.844,-73.8773,-1,0
02/06/2014,13:21:00,40.833,-73.9217,-1,0
02/06/2014,15:15:00,40.8194,-73.8458,-1,0
02/06/2014,20:46:00,40.8273,-73.9241,2,1
03/06/2014,09:28:00,40.8932,-73.8997,5,1
03/06/2014,11:09:00,40.8927,-73.8992,5,1
03/06/2014,14:41:00,40.8907,-73.9083,7,1
03/06/2014,20:41:00,40.832,-73.9235,2,1
03/06/2014,21:43:00,40.8295,-73.9285,2,1
03/06/2014,22:14:00,40.816,-73.9174,-1,0
03/06/2014,22:39:00,40.8294,-73.9284,2,1
04/06/2014,09:48:00,40.8996,-73.9011,6,1
04/06/2014,10:52:00,40.8995,-73.9012,6,1
04/06/2014,20:27:00,40.8274,-73.9241,2,1
04/06/2014,20:43:00,40.8309,-73.9269,2,1
04/06/2014,20:46:00,40.8538,-73.7903,-1,0
04/06/2014,21:03:00,40.8321,-73.9234,2,1
04/06/2014,21:21:00,40.8302,-73.9276,2,1
04/06/2014,21:33:00,40.8315,-73.9266,2,1
04/06/2014,21:44:00,40.8294,-73.9284,2,1
04/06/2014,22:19:00,40.8286,-73.9254,2,1
04/06/2014,23:49:00,40.8537,-73.7904,-1,0
05/06/2014,08:57:00,40.8894,-73.9057,7,1
05/06/2014,09:58:00,40.8665,-73.8663,-1,0
05/06/2014,11:59:00,40.8976,-73.9138,-1,0
05/06/2014,13:52:00,40.8279,-73.8722,-1,0
05/06/2014,14:17:00,40.825,-73.9238,2,1
05/06/2014,15:02:00,40.831,-73.9267,2,1
05/06/2014,15:47:00,40.8664,-73.8663,-1,0
05/06/2014,18:14:00,40.8084,-73.9292,8,1
05/06/2014,22:14:00,40.862,-73.8805,9,1
06/06/2014,20:29:00,40.8216,-73.9121,-1,0
07/06/2014,08:36:00,40.8521,-73.8262,-1,0
07/06/2014,15:54:00,40.8482,-73.8486,-1,0
07/06/2014,16:39:00,40.8402,-73.8269,-1,0
07/06/2014,21:05:00,40.8299,-73.9278,2,1
07/06/2014,21:58:00,40.8306,-73.9271,2,1
08/06/2014,02:16:00,40.8581,-73.8902,-1,0
08/06/2014,11:59:00,40.8262,-73.9117,-1,0
08/06/2014,12:12:00,40.8889,-73.8923,3,1
08/06/2014,14:43:00,40.8609,-73.9141,-1,0
08/06/2014,21:52:00,40.8045,-73.9218,-1,0
09/06/2014,06:52:00,40.8875,-73.9062,0,1
09/06/2014,10:04:00,40.907,-73.9049,27,1
09/06/2014,10:04:00,40.907,-73.9049,27,1
09/06/2014,23:11:00,40.8116,-73.9262,19,1
11/06/2014,06:53:00,40.8953,-73.9131,-1,0
11/06/2014,07:47:00,40.8407,-73.9222,-1,0
11/06/2014,11:37:00,40.8938,-73.8994,5,1
11/06/2014,16:50:00,40.8232,-73.8989,-1,0
11/06/2014,17:05:00,40.8619,-73.8806,9,1
11/06/2014,21:27:00,40.8088,-73.9308,8,1
12/06/2014,13:15:00,40.8961,-73.9011,10,1
13/06/2014,04:11:00,40.8776,-73.8398,-1,0
13/06/2014,09:38:00,40.8072,-73.928,8,1
13/06/2014,11:54:00,40.8932,-73.8999,5,1
13/06/2014,11:54:00,40.8932,-73.8999,5,1
13/06/2014,15:33:00,40.8854,-73.9084,0,1
13/06/2014,17:36:00,40.8717,-73.8945,-1,0
13/06/2014,17:36:00,40.8717,-73.8945,-1,0
14/06/2014,11:19:00,40.8399,-73.9135,-1,0
14/06/2014,12:31:00,40.8238,-73.9309,-1,0
14/06/2014,15:48:00,40.8053,-73.9139,4,1
15/06/2014,10:43:00,40.8204,-73.9214,-1,0
15/06/2014,12:24:00,40.8615,-73.8811,9,1
15/06/2014,13:42:00,40.8848,-73.8994,11,1
15/06/2014,14:00:00,40.8516,-73.8821,12,1
15/06/2014,15:15:00,40.8616,-73.8811,9,1
15/06/2014,17:11:00,40.8914,-73.9041,-1,0
16/06/2014,05:31:00,40.8644,-73.9083,-1,0
16/06/2014,16:48:00,40.9031,-73.8965,-1,0
17/06/2014,03:31:00,40.8799,-73.8779,13,1
17/06/2014,11:53:00,40.8848,-73.8995,11,1
17/06/2014,15:11:00,40.8346,-73.8862,-1,0
17/06/2014,15:42:00,40.8565,-73.8462,-1,0
17/06/2014,21:15:00,40.827,-73.9236,2,1
17/06/2014,21:15:00,40.8266,-73.9265,2,1
18/06/2014,13:38:00,40.8472,-73.8352,-1,0
18/06/2014,16:42:00,40.8568,-73.8413,-1,0
18/06/2014,17:01:00,40.8542,-73.8887,1,1
18/06/2014,20:54:00,40.8295,-73.9283,2,1
18/06/2014,21:10:00,40.8325,-73.9255,2,1
18/06/2014,22:14:00,40.8539,-73.8551,-1,0
18/06/2014,22:15:00,40.8281,-73.9261,2,1
18/06/2014,22:27:00,40.8271,-73.9264,2,1
19/06/2014,06:49:00,40.8875,-73.9053,0,1
19/06/2014,14:53:00,40.8402,-73.8566,-1,0
19/06/2014,16:15:00,40.8554,-73.877,-1,0
19/06/2014,16:20:00,40.8196,-73.9018,-1,0
19/06/2014,16:29:00,40.8224,-73.9129,-1,0
19/06/2014,20:58:00,40.8312,-73.9269,2,1
19/06/2014,21:34:00,40.8314,-73.9264,2,1
19/06/2014,21:38:00,40.8308,-73.9267,2,1
19/06/2014,21:42:00,40.8121,-73.9303,8,1
19/06/2014,22:00:00,40.8274,-73.9241,2,1
20/06/2014,21:10:00,40.8285,-73.9305,2,1
20/06/2014,21:12:00,40.831,-73.927,2,1
21/06/2014,11:19:00,40.8946,-73.9051,-1,0
21/06/2014,13:49:00,40.831,-73.9269,2,1
21/06/2014,13:59:00,40.8317,-73.9261,2,1
