Date,Time,Lat,Lon,Base
7/1/2014,3:14:00,40.815,-73.9095,B02512
7/1/2014,15:24:00,40.8087,-73.9308,B02512
7/1/2014,20:32:00,40.8294,-73.9284,B02512
7/1/2014,21:06:00,40.8293,-73.9284,B02512
7/1/2014,21:37:00,40.8789,-73.9148,B02512
7/1/2014,21:50:00,40.8308,-73.9269,B02512
7/1/2014,21:53:00,40.8292,-73.9251,B02512
7/2/2014,15:16:00,40.85,-73.8512,B02512
7/2/2014,17:38:00,40.8689,-73.8237,B02512
7/2/2014,17:38:00,40.8088,-73.9306,B02512
7/2/2014,17:38:00,40.8088,-73.9306,B02512
7/2/2014,19:00:00,40.8521,-73.8437,B02512
7/3/2014,9:56:00,40.8138,-73.821,B02512
7/3/2014,12:50:00,40.893,-73.8998,B02512
7/3/2014,14:19:00,40.8889,-73.8926,B02512
7/4/2014,5:15:00,40.8185,-73.8999,B02512
7/4/2014,8:24:00,40.8182,-73.9275,B02512
7/4/2014,14:53:00,40.8457,-73.8232,B02512
7/5/2014,10:25:00,40.8869,-73.9084,B02512
7/5/2014,14:54:00,40.854,-73.8722,B02512
7/5/2014,15:22:00,40.8443,-73.8778,B02512
7/5/2014,17:04:00,40.8847,-73.9153,B02512
7/5/2014,18:39:00,40.8402,-73.8586,B02512
7/6/2014,12:29:00,40.8553,-73.8981,B02512
7/6/2014,18:04:00,40.8245,-73.9224,B02512
7/8/2014,5:42:00,40.8799,-73.874,B02512
7/8/2014,10:08:00,40.8789,-73.915,B02512
7/8/2014,12:29:00,40.8064,-73.9279,B02512
7/8/2014,13:12:00,40.893,-73.8995,B02512
7/8/2014,15:17:00,40.8442,-73.8774,B02512
7/9/2014,7:42:00,40.8869,-73.9084,B02512
7/9/2014,10:58:00,40.8649,-73.8704,B02512
7/9/2014,15:40:00,40.9105,-73.9073,B02512
7/10/2014,3:29:00,40.8085,-73.9309,B02512
7/11/2014,7:28:00,40.8701,-73.8996,B02512
7/11/2014,10:46:00,40.8856,-73.9061,B02512
7/11/2014,10:46:00,40.8856,-73.9061,B02512
7/11/2014,15:14:00,40.8082,-73.9292,B02512
7/11/2014,18:29:00,40.8735,-73.8088,B02512
7/11/2014,18:38:00,40.848,-73.8562,B02512
7/12/2014,5:14:00,40.878,-73.8598,B02512
7/12/2014,16:21:00,40.8204,-73.8766,B02512
7/12/2014,16:26:00,40.8545,-73.8673,B02512
7/12/2014,19:25:00,40.8406,-73.9153,B02512
7/12/2014,20:14:00,40.817,-73.8071,B02512
7/12/2014,20:19:00,40.8276,-73.8664,B02512
7/13/2014,00:40:00,40.8294,-73.9284,B02512
7/13/2014,01:45:00,40.8134,-73.8862,B02512
7/13/2014,02:05:00,40.8391,-73.8683,B02512
7/13/2014,14:16:00,40.889,-73.8921,B02512
7/13/2014,16:26:00,40.8515,-73.8821,B02512
7/13/2014,23:28:00,40.8763,-73.8461,B02512
7/14/2014,03:49:00,40.8789,-73.9149,B02512
7/14/2014,04:06:00,40.8214,-73.9176,B02512
7/14/2014,09:10:00,40.8194,-73.8854,B02512
7/15/2014,03:07:00,40.8679,-73.8903,B02512
7/15/2014,11:51:00,40.8963,-73.9018,B02512
7/15/2014,13:38:00,40.8249,-73.9202,B02512
7/15/2014,21:32:00,40.826,-73.8584,B02512
7/16/2014,07:26:00,40.8897,-73.9108,B02512
7/16/2014,08:28:00,40.859,-73.8704,B02512
7/16/2014,14:28:00,40.8116,-73.9213,B02512
7/16/2014,14:50:00,40.8134,-73.9298,B02512
7/16/2014,17:02:00,40.8914,-73.9039,B02512
7/16/2014,17:02:00,40.8914,-73.9039,B02512
7/16/2014,22:02:00,40.8361,-73.9151,B02512
7/17/2014,03:23:00,40.863,-73.8533,B02512
7/17/2014,12:07:00,40.8817,-73.8793,B02512
7/17/2014,12:47:00,40.8082,-73.9142,B02512
7/17/2014,13:11:00,40.8098,-73.8747,B02512
7/17/2014,15:40:00,40.8573,-73.8896,B02512
7/18/2014,07:27:00,40.887,-73.9085,B02512
7/18/2014,10:35:00,40.8872,-73.9071,B02512
7/18/2014,20:13:00,40.827,-73.9228,B02512
7/18/2014,22:58:00,40.8269,-73.9264,B02512
7/19/2014,05:18:00,40.9043,-73.9062,B02512
7/19/2014,14:32:00,40.827,-73.9255,B02512
7/19/2014,14:46:00,40.8293,-73.9285,B02512
7/19/2014,15:02:00,40.8029,-73.9201,B02512
7/19/2014,20:54:00,40.8337,-73.9139,B02512
7/19/2014,21:15:00,40.8055,-73.8528,B02512
7/19/2014,23:32:00,40.8113,-73.9182,B02512
7/20/2014,00:51:00,40.8576,-73.8848,B02512
7/20/2014,01:12:00,40.8236,-73.8634,B02512
7/20/2014,07:43:00,40.8297,-73.8785,B02512
7/20/2014,10:17:00,40.8318,-73.9088,B02512
7/20/2014,13:40:00,40.8177,-73.8986,B02512
7/20/2014,15:54:00,40.8302,-73.9277,B02512
7/20/2014,20:32:00,40.8694,-73.8523,B02512
7/20/2014,21:13:00,40.821,-73.889,B02512
7/20/2014,21:17:00,40.85,-73.8567,B02512
7/20/2014,21:35:00,40.8699,-73.8845,B02512
7/20/2014,22:10:00,40.8161,-73.8964,B02512
7/21/2014,07:44:00,40.8933,-73.9135,B02512
7/21/2014,11:45:00,40.879,-73.9148,B02512
7/21/2014,20:30:00,40.8265,-73.9229,B02512
7/22/2014,06:45:00,40.8914,-73.9042,B02512
7/22/2014,11:44:00,40.8785,-73.9161,B02512
7/22/2014,12:07:00,40.8525,-73.8277,B02512
7/22/2014,13:46:00,40.8532,-73.8919,B02512
7/22/2014,19:53:00,40.8295,-73.9284,B02512
7/22/2014,20:11:00,40.8306,-73.9271,B02512
7/22/2014,20:31:00,40.8301,-73.9275,B02512
7/22/2014,20:36:00,40.8312,-73.9268,B02512
7/22/2014,21:03:00,40.8294,-73.9283,B02512
7/22/2014,21:55:00,40.8311,-73.9268,B02512
7/22/2014,21:56:00,40.8294,-73.9285,B02512
7/22/2014,23:05:00,40.8298,-73.9279,B02512
7/23/2014,06:22:00,40.8914,-73.904,B02512
7/23/2014,15:27:00,40.8228,-73.886,B02512
7/23/2014,20:20:00,40.8285,-73.9305,B02512
7/23/2014,20:34:00,40.8306,-73.9274,B02512
7/23/2014,20:36:00,40.8273,-73.9241,B02512
7/24/2014,09:59:00,40.8961,-73.9013,B02512
7/24/2014,12:56:00,40.8504,-73.8825,B02512
7/24/2014,13:24:00,40.8907,-73.8976,B02512
7/24/2014,15:16:00,40.8269,-73.9236,B02512
7/24/2014,15:18:00,40.8511,-73.8453,B02512
7/24/2014,16:37:00,40.8275,-73.9261,B02512
7/24/2014,19:21:00,40.8361,-73.8173,B02512
7/24/2014,21:54:00,40.8609,-73.8936,B02512
7/25/2014,07:48:00,40.8499,-73.8566,B02512
7/25/2014,08:08:00,40.8548,-73.8649,B02512
7/25/2014,08:25:00,40.8937,-73.9014,B02512
7/25/2014,15:46:00,40.8434,-73.8564,B02512
7/25/2014,21:10:00,40.8302,-73.9284,B02512
7/25/2014,21:43:00,40.8281,-73.9261,B02512
7/26/2014,04:21:00,40.8822,-73.8505,B02512
7/26/2014,07:42:00,40.8918,-73.8385,B02512
